Name,Year,Gender Guesser,Genderizer,Confirmed
Howard Elliott,1927,male,male,male
Henry Sturgis Dennison,1927,male,male,male
John Edward Zimmerman,1928,male,male,male
Charles Wesley Shreiner,1928,male,male,male
Ernest Henry Schelling,1928,male,male,male
Sir Humphry Davy Bart. Rolleston,1928,unknown,unknown,male
Frank Brett Noyes,1928,male,male,male
Effingham Buckley Morris,1928,unknown,unknown,male
Andrew William Mellon,1928,male,male,male
Robert Tait Mckenzie,1928,male,male,male
John James Rickard Macleod,1928,male,male,male
Eldridge Reeves Johnson,1928,male,male,male
Milton Jay Greenman,1928,male,male,male
John Stutchell Fisher,1928,male,male,male
Samuel Taylor Bodine,1928,male,male,male
James Meschter Anders,1928,male,male,male
Owen Josephus Roberts,1929,male,male,male
William Augustus Redding,1929,male,male,male
William Ephraim Mikell,1929,male,male,male
John Vaughan 3rd Merrick,1929,male,male,male
Nicholas Longworth,1929,male,male,male
Herbert Eugene Ives,1929,male,male,male
Herbert Funk Goodrich,1929,male,male,male
Simon Flexner,1929,male,male,male
Francis Herman Bohlen,1929,male,unknown,male
Cyrus E. Woods,1930,male,male,male
William Henry Welch,1930,male,male,male
Alexander Von Lichtenberg,1930,male,male,male
Henry Gordon Thunder,1930,male,male,male
Alonzo Englebert Taylor,1930,male,male,male
Alfred Stengel,1930,male,male,male
Theobald Smith,1930,male,male,male
Julio Prestes,1930,male,male,male
William Gerry Morgan,1930,male,male,male
James Ramsay Hunt,1930,male,male,male
Archibald Vivian Hill,1930,male,male,male
Cheesman Abiah Herrick,1930,unknown,unknown,male
John Marshall Gest,1930,male,male,male
Walter Morley Fletcher,1930,male,male,male
Hugh Smith Cumming,1930,male,male,male
James Francis Cooke,1930,male,male,male
Clarence Griffin Child,1930,male,male,male
Edward E. Allen,1930,male,male,male
Cyrus Adler,1930,male,male,male
Henry Newbold Woolman,1931,male,male,male
Robert Sessions Woodworth,1931,male,male,male
Daniel Willard,1931,male,male,male
Cornelius Weygandt,1931,male,male,male
Henry Lewis Stimson,1931,male,male,male
Olga Samaroff,1931,female,female,female
Leo Stanton Rowe,1931,male,male,male
George Franklin Rand,1931,male,unknown,male
Arthur H. Quinn,1931,male,male,male
James DeWolf Perry Jr.,1931,male,male,male
Howard Mcclenahan,1931,male,male,male
George William Mcclelland,1931,male,unknown,male
Horatio Gates Lloyd,1931,male,male,male
Joanna Wharton Lippincott,1931,female,female,female
Solomon Stephen Huebner,1931,male,male,male
Thomas Sovereign Gates,1931,male,male,male
Gilbert Haven Fall,1931,male,male,male
Charles Ezra Beury,1931,male,male,male
Edgar Douglas Adrian,1931,male,male,male
Alexander Van Rensselaer,1932,male,male,male
Thomas Shaw,1932,male,male,male
Harlow Shapley,1932,male,male,male
Alfred Newton Richards,1932,male,male,male
William Pepper,1932,male,male,male
Roland Sletor Morris,1932,male,male,male
Warren Powers Laird,1932,male,male,male
Barton Cooke Hirst,1932,male,male,male
William Purves Gest,1932,male,male,male
Benjamin Nathan Cardozo,1932,male,male,male
Mary Louise Curtis Bok,1932,mostly_female,unknown,female
Frederic James Eugene Woodbridge,1933,male,male,male
Charles Root Turner,1933,male,male,male
Horace Stern,1933,male,male,male
Alfred Rigling,1933,male,male,male
Marion Edwards Park,1933,female,unknown,female
Leroy Matthew Simpson Miner,1933,male,male,male
John Valentine Mershon,1933,male,male,male
Albert Hawley Lucas,1933,male,male,male
Abbott Lawrence Lowell,1933,unknown,male,male
Herbert Spencer Jennings,1940,male,male,male
Horace Howard Furness Jayne,1933,male,male,male
Joseph Hofmann,1933,male,male,male
Milo Hellman,1933,male,male,male
Robert Almer Harper,1933,male,male,male
Luther Pfahler Eisenhart,1933,male,male,male
Samuel Paul Capen,1933,male,male,male
Charles W. Burr,1933,male,male,male
Arthur Henry Reginald Buller,1933,male,male,male
Joseph Sweetman Ames,1933,male,male,male
Thomas Whitney Surette,1934,male,male,male
Harlan Fiske Stone,1934,male,male,male
William Gibson Spiller,1934,male,male,male
James Noble Rule,1934,male,male,male
Ralph Dorn Hetzel,1934,male,male,male
Dorothy Harrison Eustis,1934,female,female,female
Charles Meigs Biddle Cadwalader,1934,male,male,male
Edwin Cornelius Broome,1934,male,male,male
John Gabbert Bowman,1934,male,male,male
George Woodward Wickersham,1935,male,unknown,male
Leunis Van Es,1935,unknown,unknown,male
Charles Russ Richards,1935,male,male,male
Alfred Edward Newton,1935,male,male,male
Clarence James Marshall,1935,male,male,male
Joshua Bertram Lippincott,1935,male,male,male
William Mather Lewis,1935,male,male,male
Louis Amos Klein,1935,male,male,male
Learned Hand,1935,unknown,unknown,male
Jessie Gray,1935,female,unknown,female
Robert Sellers Frazer,1935,male,male,male
Isaiah Bowman,1935,male,male,male
Walter Brooke Stabler,1936,male,male,male
Otis Skinner,1936,male,male,male
James Grafton Rogers,1936,male,male,male
John Campbell Merriam,1936,male,male,male
Richard Knowles,1936,male,male,male
Herbert Spencer Gasser,1936,male,male,male
Robert Frost,1936,male,male,male
Joseph Erlanger,1936,male,male,male
Harold Willis Dodds,1936,male,male,male
Gustavus Wynne Cook,1936,unknown,male,male
Lightner Witmer,1937,unknown,unknown,male
Joseph Wayne Jr.,1937,male,male,male
Herbert James Tily,1937,male,male,male
Florence Rena Sabin,1937,female,female,female
Eugene Ormandy,1961,male,male,male
John William Kephart,1937,male,male,male
Cordell Hull,1937,male,male,male
Dorothy Annie Elizabeth Garrod,1937,female,female,female
Samuel Simeon Fels,1937,male,male,male
Samuel Smith Drury,1937,male,male,male
Edmund Ezra Day,1937,male,male,male
Fred Pierce Corson,1937,male,male,male
Martin Withington Clement,1937,male,male,male
Vere Gordon Childe,1937,unknown,male,male
Kaj Birket-Smith,1937,male,male,male
James Isaac Wendell,1938,male,male,male
John Duncan Spaeth,1938,male,male,male
Thomas Hunt Morgan,1938,male,male,male
Louis Martin,1938,male,male,male
Herbert Meredith Marler,1938,male,male,male
Gilbert Newton Lewis,1938,male,male,male
Augustus Noble Hand,1938,male,male,male
H.R.H. Crown Prince of Sweden Gustav Adolf,1938,unknown,unknown,male
Johannes Sigfrid Edstrom,1938,male,male,male
Arthur Louis Day,1938,male,male,male
Katherine Cornell,1938,female,female,female
Wollmar Filip Bostrom,1938,unknown,unknown,male
George David Birkhoff,1938,male,unknown,male
James Rowland Angell,1938,male,male,male
Joseph Henry Willits,1939,male,male,male
William Irwin Schaffer,1939,male,male,male
Josiah Harmar Penniman,1939,male,male,male
Francis Randolph Packard,1939,male,unknown,male
Edward Warloch Mumford,1939,male,male,male
William Huestis Keller,1939,male,male,male
Edward Johnson,1939,male,male,male
Samuel Frederic Houston,1939,male,male,male
Joel Henry Hildebrand,1939,male,male,male
John Louis Haney,1939,male,male,male
Ernest Charles Earp,1939,male,male,male
Charlotte Carr,1939,female,female,female
James Thomas Young,1940,male,male,male
Hermann Weyl,1940,male,male,male
Alan John Bayard Wace,1940,male,male,male
Carl Van Doren,1940,male,male,male
Alexander Jerry Stoddard,1940,male,male,male
Philip Clayton Staples,1940,male,male,male
Harold Paul Sloan,1940,male,male,male
Hu Shih,1940,andy,unknown,male
Charles Seymour,1940,male,male,male
Albert Schinz,1940,male,male,male
John Ahlum Schaeffer,1940,male,male,male
Franklin Delano Roosevelt,1940,male,male,male
David Riesman,1971,male,male,male
William Procter Remington,1940,male,male,male
Fritz Reiner,1940,male,male,male
William E. Rappard,1940,male,male,male
Henry Augustus Pilsbry,1940,male,male,male
Frederick Logan Paxson,1940,male,male,male
George Stewart Patterson,1940,male,unknown,male
Reinhold Niebuhr,1940,male,male,male
Charles Samuel Myers,1940,male,male,male
Wesley Clair Mitchell,1940,male,male,male
George Herbert Meeker,1940,male,unknown,male
Clarence Erwin Mcclung,1940,male,male,male
Jacques Maritain,1940,male,male,male
Horace Mather Lippincott,1940,male,male,male
William Ezra Lingelbach,1940,male,male,male
James Pendleton Lichtenberger,1940,male,male,male
Conrad Newton Lauer,1940,male,male,male
Carl Kelsey,1940,male,male,male
Elizabeth Forrest Johnson,1940,female,female,female
Frank Baldwin Jewett,1940,male,male,male
Herbert Spencer Jennings,1940,male,male,male
John Story Jenks,1940,male,male,male
Arthur Horace James,1940,male,male,male
Arthur Charles Howland,1940,male,male,male
Herbert Clark Hoover,1940,male,male,male
Lawrence Joseph Henderson,1940,male,male,male
Samuel McClintock Hamill,1940,male,male,male
Frank Pierrepont Graves,1940,male,male,male
Evarts Ambrose Graham,1940,unknown,unknown,male
Etienne Gilson,1940,male,male,male
William James Entwhistle,1940,male,male,male
Lyman Poore Duff,1940,male,male,male
William Henry Donner,1940,male,male,male
James Bryant Conant,1940,male,male,male
William Mansfield Clark,1940,male,male,male
Charles Cestre,1940,male,male,male
Willa Cather,1940,female,female,female
John Stewart Bryan,1940,male,male,male
Cornelius Brett Boocock,1940,male,male,male
Herbert Eugene Bolton,1940,male,male,male
Henry Wolf BiklÉ,1940,male,male,male
William Henry Beveridge,1940,male,male,male
William Nickerson Bates,1940,male,male,male
John Alexander,1940,male,male,male
Richard Wilson,1941,male,male,male
Francis Henry Taylor,1941,male,unknown,male
Sarah Logan Wister Starr,1941,female,female,female
John Joseph Shaw,1941,male,male,male
John William Nason,1941,male,male,male
Felix Muskett Morley,1941,male,male,male
Archibald Macleish,1941,male,male,male
Lewis Hill Weed,1942,male,male,male
Adolphus Eugene Watson,1942,male,male,male
Wilbert Barnes Smith,1942,male,male,male
Edward Kennard Rand,1942,male,male,male
Remsen Brinckerhoff Ogilby,1942,unknown,unknown,male
Katharine Elizabeth Mcbride,1942,female,female,female
Ernest Orlando Lawrence,1942,male,male,male
Robert Livingston Johnson,1942,male,male,male
George Howard Johnson,1942,male,unknown,male
Oliver James Hart,1942,male,male,male
Douglas Southall Freeman,1942,male,male,male
Henry Sandwith Drinker,1942,male,male,male
Rex Stowers Clements,1942,male,male,male
Vannevar Bush,1942,unknown,unknown,male
James Steven Simmons,1943,male,male,male
Henning Webb Prentis Jr.,1943,male,male,male
John Edwin Pomfret,1943,male,male,male
Mildred Helen Mcafee,1943,female,female,female
Joyce (Jan Struther) Maxtone-Graham,1943,female,unknown,female
George Wendell Maxey,1943,male,unknown,male
Edward Martin,1943,male,male,male
George Johnson,1943,male,unknown,male
Ernest Hutcheson,1943,male,male,male
Rufus Henry Fitzgerald,1943,male,male,male
Edwin Grant Conklin,1943,male,male,male
William Loren Batt,1943,male,male,male
Edgar Arthur Singer Jr.,1944,male,male,male
Ralph Barton Perry,1944,male,male,male
George Simpson Koyl,1944,male,unknown,male
Jacob Clemens Kolb,1944,male,male,male
Charles Francis Jenkins,1944,male,male,male
Milo Frederick Draemel,1944,male,male,male
Leonard Augustus Yerkes,1945,male,male,male
Harry Shultz Vandiver,1945,male,male,male
Arthur T. Vanderbilt,1945,male,male,male
Edward Valentine Stanford,1945,male,male,male
Leslie Richard Severinghaus,1945,mostly_female,unknown,male
Florence Barbara Seibert,1945,female,female,female
Walden Pell II,1945,unknown,unknown,male
Samuel Torrey Orton,1945,male,male,male
Abraham Aaron Neuman,1945,male,male,male
Edward Felix Kloman,1945,male,male,male
Fiske Kimball,1945,unknown,unknown,male
John Flagg Gummere,1945,male,male,male
Virginia Crocheron Gildersleeve,1945,female,female,female
Alexander Fleming,1945,male,male,male
Eldridge Lyon Eliason,1945,male,male,male
George Frederick Zook,1946,male,unknown,male
Efrem Zimbalist,1946,male,male,male
George Woodward,1946,male,unknown,male
Henry St. George Tucker,1946,male,male,male
Lewis Madison Terman,1946,male,male,male
Quo Tai-Chi,1946,unknown,unknown,male
Julius Robert Oppenheimer,1946,male,male,male
William Shaneline Middleton,1946,male,male,male
Wolfgang Kohler,1946,male,male,male
Henry Herbert Goddard,1946,male,male,male
Geoffrey Francis Archbishop of Canterbury Fisher,1946,male,male,male
Robert Herndon Fife,1946,male,male,male
John Dewey,1946,male,male,male
Edwin Garrigues Boring,1946,male,male,male
Henry Harley Arnold,1946,male,male,male
Lessing Julius Rosenwald,1947,unknown,unknown,male
Charles Summerfield Redding,1947,male,male,male
Roland Grubb Kent,1947,male,male,male
Dwight David Eisenhower,1947,male,male,male
James Henderson Duff,1947,male,male,male
James Creese,1947,male,male,male
Paul Foster Clark,1947,male,male,male
Revelle Wilson Brown,1947,unknown,unknown,male
Chester Irving Barnard,1947,male,male,male
Roger Adams,1947,male,male,male
Harold Edward Stassen,1948,male,male,male
Merle Middleton Odgers,1948,mostly_male,unknown,male
John Harrison Minnick,1948,male,male,male
Esmond Ray Long,1948,male,male,male
William Bomberger Linn,1948,male,male,male
Walter Woodburn Hyde,1948,male,male,male
George Keith Funston,1948,male,unknown,male
James Byron Drew,1948,male,male,male
James Francis Byrnes,1948,male,male,male
Sarah Gibson Blanding,1948,female,female,female
Alfred Henry Sturtevant,1949,male,male,male
Thomas Ignatius Parkinson,1949,male,male,male
William Wilcox Edel,1949,male,male,male
John Foster Dulles,1949,male,male,male
Ralph Johnson Bunche,1949,male,male,male
Detlev Wulf Bronk,1949,male,male,male
John Von Neumann,1950,male,male,male
Paul-Henri Spaak,1950,unknown,unknown,male
Margie Alice Smith,1950,female,female,female
Ernest Minor Patterson,1950,male,male,male
Edwin Roulette Keedy,1950,male,male,male
Paul Gray Hoffman,1950,male,male,male
Walter Simonds Franklin,1950,male,male,male
Thomas Knight Finletter,1950,male,male,male
Alfred Hector Williams,1951,male,male,male
Conyers Read,1951,unknown,unknown,male
Joseph Pennell,1951,male,male,male
James Rhyne Killian Jr.,1951,male,male,male
Albert Anthony Giesecke,1951,male,male,male
William Howard Fineshriber,1951,male,male,male
John Sydney Fine,1951,male,male,male
Hugh Latimer Dryden,1951,male,male,male
Robin Carl Buerki,1951,mostly_male,unknown,male
Anne Bezanson,1951,female,unknown,unknown
Elizabeth Cecelia Berrang,1951,female,female,female
Henry Merritt Wriston,1952,male,male,male
William Carlos Williams,1952,male,male,male
Boyd Lee Spahr,1952,male,male,male
David Sarnoff,1952,male,male,male
Franklin Haines Price,1952,male,male,male
Lester Weldon Nelson,1952,male,male,male
Frederick Sumner Mckay,1952,male,male,male
Williams Biddle Cadwalader,1952,unknown,male,male
Harold Vincent Smith,1953,male,male,male
Isidor Schwaner Ravdin,1953,male,male,male
Elizabeth Kerr Porter,1953,female,female,female
Thomas Parran,1953,male,male,male
Robert Thompson Mccracken,1953,male,male,male
Thomas Bayard Mccabe,1953,male,male,male
Harry Elmer Humphreys Jr.,1953,male,male,male
Edward Hopkinson Jr.,1953,male,male,male
Harold Hillenbrand,1953,male,male,male
Gaylord Probasco Harnwell,1953,male,male,male
Edith Hamilton,1953,female,female,female
Milton Stover Eisenhower,1953,male,male,male
Herbert Kurtz Cooper,1953,male,male,male
Van Wyck Brooks,1953,mostly_male,unknown,male
William Blum,1953,male,male,male
James Burns Amberson,1953,male,male,male
Charles Edward Wyzanski Jr.,1954,male,male,male
Joseph Folwell Scull Jr.,1954,male,male,male
Willis Eugene Lamb Jr.,1954,male,male,male
Grayson Louis Kirk,1954,male,male,male
Mervin Joe Kelly,1954,male,male,male
Robert Henry Ivy,1954,male,male,male
Alfred Bennett Harbage,1954,male,male,male
Dag HammarskjØLd,1954,male,male,male
William Bradford Shockley,1955,male,male,male
Franklin David Murphy,1955,male,male,male
Karl Spencer Lashley,1955,male,male,male
George Howe,1955,male,unknown,male
Oveta Culp Hobby,1955,unknown,unknown,female
Charles Wendell David,1955,male,male,male
Leroy Edgar Chapman,1955,male,male,male
Catherine Drinker Bowen,1955,female,female,female
Caleb Canby Balderston,1955,male,male,male
Walter Gordon Whitman,1956,male,male,male
Earl Warren,1956,male,male,male
Axel Hugo Theorell,1956,male,male,male
Otto Struve,1956,male,male,male
Allen Michener Stearne,1956,male,male,male
Alic Halford Smith,1956,unknown,unknown,male
Nathan Marsh Pusey,1956,male,male,male
Kenjiro Matsumoto,1956,male,male,male
Henry Cabot Lodge Jr.,1956,male,male,male
Simon Smith Kuznets,1976,male,male,male
Thomas Malcolm Knox,1956,male,male,male
Mary Gibson Henry,1956,mostly_female,unknown,female
Alfred Whitney Griswold,1956,male,male,male
Thomas Sovereign Gates Jr.,1956,male,male,male
Alvin Duke Chandler,1956,male,male,male
Stanley Ferdinand Teele,1957,male,male,male
Lewis Lichtenstein Strauss,1957,male,male,male
Joseph Russell Smith,1957,male,male,male
Mabel Newcomer,1957,female,female,female
George Meany,1957,male,unknown,male
William McChesney Martin Jr.,1957,male,male,male
Sydney Errington Martin,1957,mostly_male,unknown,male
George Michael Leader,1957,male,unknown,male
Clarence Mahlon Kline,1957,male,male,male
Charles Alvin Jones,1957,male,male,male
Frank Cyril James,1957,male,male,male
Bernard Feustman Gimbel,1957,male,male,male
Henry Richard Dietrich,1957,male,male,male
John Anthony Diemand,1957,male,male,male
Cleo Frank Craig,1957,mostly_female,unknown,male
Arthur Gardiner Coons,1957,male,male,male
William Joseph Brennan Jr.,1957,male,male,male
Edwin Bucher Williams,1958,male,male,male
Courtney Craig Smith,1958,mostly_female,unknown,male
Sigmund Skard,1958,male,male,male
George Morris Piersol,1958,male,unknown,male
Arthur Lehman Goodhart,1958,male,male,male
Robert Francis Goheen,1958,male,male,male
Harold Wells Gilbert,1958,male,male,male
Robert Dechert,1958,male,male,male
Ralph Erskine Cleland,1958,male,male,male
Arthur Frank Burns,1958,male,male,male
Willy Brandt,1958,male,unknown,male
Marian Anderson,1958,male,male,male
William Christopher Stadie,1959,male,male,male
Richard Edwin Shope,1959,male,male,male
Virginia Pollard Robinson,1959,female,female,female
Isaac Warner Roberts,1959,male,male,male
Karl Friedrich Meyer,1959,male,male,male
Robert Franklin Mehl,1959,male,male,male
Hadleigh Marsh,1959,unknown,unknown,male
Esther Lazarus,1959,female,female,female
David Leo Lawrence,1959,male,male,male
Joseph Victor Klauder,1959,male,male,male
Dana Greenleaf How,1959,female,unknown,male
Althea Hallowell Kratz Hottel,1959,female,female,female
Ralph Connor,1959,male,male,male
Jasper Yeates Brinton,1959,male,male,male
Robert Stevenson Aitken,1959,male,male,male
Eric Arthur Walker,1960,male,male,male
Jacob Viner,1960,male,male,male
Lauriston Sale Taylor,1960,unknown,unknown,male
Jonathan Evans Rhoads,1960,male,male,male
John Jay Mccloy,1960,male,male,male
John William Mauchly,1960,male,male,male
John William Knutson,1960,male,male,male
George Bogdan Kistiakowski,1960,male,unknown,male
Nelson Glueck,1960,male,male,male
Millard Elwood Gladfelter,1960,male,male,male
John Cromwell Bell,1960,male,male,male
Eugene Paul Wigner,1961,male,male,male
Arnold Joseph Toynbee,1961,male,male,male
Eugene Ormandy,1961,male,male,male
William Henry Hastie,1961,male,male,male
Edward George Harris,1961,male,male,male
Crawford Hallock Greenewalt,1961,male,male,male
Richardson Dilworth,1961,unknown,unknown,male
Francis Boyer,1961,male,unknown,male
Hugh Borton,1961,male,male,male
Henry LeRoy Bockus,1961,male,male,male
Albert Croll Baugh,1961,male,male,male
Arthur Stanton Adams,1961,male,male,male
George Dunton Widener,1962,male,unknown,male
Joseph Treloar Wearn,1962,male,male,male
John Eric Sidney Thompson,1962,male,male,male
Hans Rademacher,1962,male,male,male
Muhammed Reza Shah Pahlavi,1962,male,male,male
Adolfo Molina-Orantes,1962,male,male,male
Percy Childs Madeira Jr.,1962,male,male,male
John Frederick Lewis Jr.,1962,male,male,male
Félix Houphouet-Boigny,1962,unknown,male,male
Ahmed Fakhry,1962,male,male,male
Henry Francis Du Pont,1962,male,male,male
Clarence Douglas Dillon,1962,male,male,male
James Frederic Dewhurst,1962,male,male,male
Merle Eugene Curti,1962,mostly_male,unknown,male
John Chipman,1962,male,male,male
David Van Pelt,1963,male,male,male
William Abraham Schnader,1963,male,male,male
Sarvepalli Radhakrishnan,1963,unknown,unknown,male
John Alanson Perkins,1963,male,male,male
Henry Rawle Pemberton,1963,male,male,male
Giuseppe Moruzzi,1963,male,male,male
Francis Keppel,1963,male,unknown,male
Charles Peter Beauchamp Jeffreys,1963,male,male,male
Christian Archibald Herter,1963,male,unknown,male
John Marshall Harlan,1963,male,male,male
Alfred Irving Hallowell,1963,male,male,male
Walter Gellhorn,1963,male,male,male
Andrew Wellington Cordier,1963,male,male,male
Lammot duPont Copeland,1963,unknown,unknown,male
Joseph Sill Clark,1963,male,male,male
William Norman Brown,1963,male,male,male
Marvin Wachman,1964,male,male,male
Marietta Peabody Tree,1964,female,female,female
Joseph Stokes Jr.,1964,male,male,male
Wendell Meredith Stanley,1964,male,male,male
Lawrence Baker Sheppard,1964,male,male,male
William Warren Scranton,1964,male,male,male
Rosemary Park,1964,female,female,female
Severo Ochoa,1964,male,male,male
Arthur Kornberg,1964,male,male,male
Roy Forbes Harrod,1964,male,male,male
John Franklin Enders,1964,male,male,male
John Presper Eckert,1964,male,male,male
George Wells Beadle,1964,male,unknown,male
Georg Von Békésy,1965,male,male,male
Carl Frederic Schmidt,1965,male,male,male
Charles Coolidge Parlin,1965,male,male,male
Richard King Mellon,1965,male,male,male
Hans Adolf Krebs,1965,male,male,male
Seymour Solomon Kety,1965,male,male,male
Lister Hill,1965,unknown,unknown,male
Wilfred Donnell Gillen,1965,male,male,male
John Heysham Gibbon,1965,male,male,male
René Jules Dubos,1965,male,unknown,male
George Washington Corner,1965,male,unknown,male
John Bruce,1965,male,male,male
Kingman Brewster Jr.,1965,unknown,unknown,male
George Packer Berry,1965,male,unknown,male
Robert Clifton Weaver,1966,male,male,male
Roger Huntington Sessions,1966,male,male,male
Hugh Scott,1966,male,male,male
Howard Lane Rubendall,1966,male,male,male
Edgar Preston Richardson,1966,male,male,male
Jean Piaget,1966,male,unknown,male
Roy Franklin Nichols,1966,male,male,male
John Newsom,1966,male,male,male
Glenn Raymond Morrow,1966,male,unknown,male
Ronald Salmon Crane,1966,male,male,male
William Bosworth Castle,1966,male,male,male
Walter Hubert Annenberg,1966,male,male,male
Charles Raymond Whittlesey,1967,male,male,male
Esther du Pont Thouron,1967,female,female,female
Robert Ernest Spiller,1967,male,male,male
Raymond Philip Shafer,1967,male,male,male
James Alfred Perkins,1967,male,male,male
Benjamin Dean Meritt,1967,male,male,male
Nils Lagerlöf,1967,male,male,male
Seymour Jacob Kreshover,1967,male,male,male
Charles Klein,1967,male,male,male
Aaron Everly Carpenter,1967,male,male,male
Howard III Butcher,1967,male,male,male
John Archibald Wheeler,1968,male,male,male
Johan Thorsten Sellin,1968,male,male,male
William Samuel Paley,1968,male,male,male
Neal Elgar Miller,1968,male,male,male
Frederick Mortimer Graves,1968,male,male,male
Jacob Furth,1968,male,male,male
John Royston Coleman,1968,male,male,male
Frank Learoyd Boyden,1968,male,male,male
Randall Thompson,1969,male,male,male
Bernard Gerard Segal,1969,male,male,male
Stuart Thomas Saunders,1969,male,male,male
Marshall Warren Nirenberg,1969,male,male,male
Samuel Noah Kramer,1969,male,male,male
Barbara Ward Jackson,1969,female,female,female
Otis Howard Green,1969,male,male,male
Robert Bruce Brown,1969,male,male,male
Elmer Holmes Bobst,1969,male,male,male
Dorothy Swaine Thomas,1970,female,female,female
Ieoh Ming Pei,1970,unknown,unknown,male
Martin Meyerson,1970,male,male,male
Charles Martin,1970,male,male,male
Jerzy Konorski,1970,male,male,male
David Rockwell Goddard,1970,male,male,male
Jefferson Barnes Fordham,1970,male,male,male
Orville Horwitz Bullitt,1970,male,male,male
Francis Clark Wood,1971,male,unknown,male
Rexford Guy Tugwell,1971,unknown,male,male
George William Taylor,1971,male,unknown,male
Leon Howard Sullivan,1971,male,male,male
David Riesman,1971,male,male,male
Harold Smith Prince,1971,male,male,male
Virginia Harrington Wright Knauer,1971,female,female,female
Louis Isadore Kahn,1971,male,male,male
Philip Bernhard Hofmann,1971,male,male,male
Haldan Keffer Hartline,1971,unknown,unknown,male
William Lang Day,1971,male,male,male
Robert Dougherty Cross,1971,male,male,male
Andrew Wyeth,1972,male,male,male
Donald Thomas Regan,1972,male,male,male
George Holmes Perkins,1972,male,unknown,male
Emily Hartshorne Mudd,1972,female,female,female
The Rt. Hon. Earl of Burma K. G. Mountbatten,1972,mostly_female,unknown,male
Harold Francis Linder,1972,male,male,male
Yu Hsiu Ku,1972,andy,unknown,male
John Hilton Knowles,1972,male,male,male
Nancy Hanks,1972,female,female,female
Robert Galbraith Dunlop,1972,male,male,male
Thomas Childs Cochran,1972,male,male,male
William Gordon Bowen,1975,male,male,male
Willis Jay Winn,1973,male,male,male
Morris Simon Viteles,1973,male,male,male
Louise Elkins Sinkler,1973,female,female,female
George Pratt Shultz,1973,male,unknown,male
Ernest Scott,1973,male,male,male
John Robert Schrieffer,1973,male,male,male
Leon Levy,1973,male,male,male
Clark Kerr,1973,male,male,male
Roy Harris Jenkins,1973,male,male,male
Jerome Heartwell Holland,1973,male,male,male
Gerald Maurice Edelman,1973,male,male,male
Leonard Davis,1973,male,male,male
Mary Eakin Crooks,1973,mostly_female,unknown,female
Christian Boehmer Anfinsen,1973,male,unknown,male
Harold Lionel Zellerbach,1974,male,male,male
Morris Wolf,1974,male,male,male
Sarkes Tarzian,1974,unknown,unknown,male
Cyril Stanley Smith,1974,male,male,male
John Robinson Pierce,1974,male,male,male
Howard Charles Petersen,1974,male,male,male
Talcott Parsons,1974,unknown,unknown,male
Grace Murray Hopper,1974,female,female,female
Richard Buckminster Fuller,1974,male,male,male
Louis Barkhouse Flexner,1974,male,male,male
William Oliver Baker,1974,male,male,male
Sadie Tanner Mossell Alexander,1974,female,female,female
Edward Maitland Wright,1975,male,male,male
Charles Haynes Wilson,1975,male,male,male
John Steven Watson,1975,male,male,male
Hugh Norwood Robson,1975,male,male,male
Alice Rosemary Murray,1975,female,female,female
Farhang Mehr,1975,unknown,unknown,male
William James Mcgill,1975,male,male,male
Walton Brooks Mcdaniel,1975,male,male,male
Francis Stewart Leland Lyons,1975,male,unknown,male
John George Kemeny,1975,male,male,male
Donald Frederick Hornig,1975,male,male,male
Matina Souretis Horner,1975,female,female,female
Aloysius Leon Higginbotham Jr.,1975,male,male,male
Avraham Harman,1975,male,male,male
Hrothgar John Habakkuk,1975,unknown,male,male
Thomas Ashley Graves Jr.,1975,male,male,male
Gerald Rudolph Ford,1975,male,male,male
William Gordon Bowen,1975,male,male,male
Edward J. Bloustein,1975,male,male,male
Assadollah Alam,1975,unknown,unknown,female
Howard Martin Temin,1976,male,male,male
Joan duPlat Taylor,1976,female,unknown,female
Frank Stanton,1976,male,male,male
Edward Shils,1976,male,male,male
Paul Anthony Samuelson,1976,male,male,male
Walter Alter Rosenblith,1976,male,male,male
Lionel Charles Robbins,1976,male,male,male
Curt Paul Richter,1976,male,male,male
Sir Nikolaus Pevsner,1976,unknown,unknown,male
Vernon Benjamin Mountcastle Jr.,1976,male,male,male
Clarence Morris,1976,male,male,male
Margaret Mead,1976,female,female,female
Edward Hirsch Levi,1976,male,male,male
Wassily W. Leontief,1976,male,male,male
Harold Dwight Lasswell,1976,male,male,male
Simon Smith Kuznets,1976,male,male,male
Tjalling Charles Koopmans,1976,male,male,male
Carl Kaysen,1976,male,male,male
Leonid Vital'evich Kantorovich,1976,male,male,male
Howard Mumford Jones,1976,male,male,male
Philip Caryl Jessup,1976,male,male,male
Ada Louise Huxtable,1976,female,female,female
Hugh Esmor Huxley,1976,male,male,male
Ivor Nöel Hume,1976,male,male,male
Shirley Mount Hufstedler,1976,female,unknown,female
Henry Russell Hitchcock,1976,male,male,male
Israel Goldstein,1976,male,male,male
Valéry Giscard D'Estaing,1976,unknown,unknown,male
James William Fulbright,1976,male,male,male
Benjamin Franklin,1976,male,male,male
Thomas Irwin Emerson,1976,male,male,male
John Thomas Dunlop,1976,male,male,male
James Anderson Depriest,1976,male,male,male
Marcus Falkner Cunliffe,1976,male,male,male
Henry Steele Commager,1976,male,male,male
William Thaddeus Coleman Jr.,1976,male,male,male
Warren Earl Burger,1976,male,male,male
